Method,Silhouette,Davies-Bouldin,Calinski-Harabasz
KMeans,0.3447344346611054,1.3092887340398867,267.6804357184897
Agglomerative,0.33938477753669855,1.3699635418941032,248.62884061078898
DBSCAN,-0.19851389887763776,2.2305638233571967,22.255329564827814
